country,agency,date,rating,rating_numeric,outlook,action,source,available_date
Greece,Moody's,2011-06-01,Caa1,17,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-06-01
Greece,Moody's,2011-07-25,Ca,20,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-07-25
Greece,Moody's,2012-03-02,C,21,,downgrade,countryeconomy.com,2012-03-02
Greece,Moody's,2013-11-29,Caa3,19,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2013-11-29
Greece,Moody's,2014-08-01,Caa1,17,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2014-08-01
Greece,Moody's,2015-02-06,Caa1,17,Under Review,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-02-06
Greece,Moody's,2015-04-29,Caa2,18,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-04-29
Greece,Moody's,2015-07-01,Caa3,19,Under Review,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-07-01
Greece,Moody's,2015-09-25,Caa3,19,Stable,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-09-25
Greece,Moody's,2016-10-14,Caa3,19,Stable,affirm,countryeconomy.com,2016-10-14
Greece,Moody's,2017-06-23,Caa2,18,Positive,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2017-06-23
Greece,Moody's,2018-02-21,B3,16,Positive,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-02-21
Greece,Moody's,2019-03-01,B1,14,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2019-03-01
Greece,Moody's,2020-11-06,Ba3,13,Stable,upgrade,countryeconomy.com,2020-11-06
Greece,Moody's,2022-09-16,Ba3,13,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2022-09-16
Greece,Moody's,2023-03-17,Ba3,13,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2023-03-17
Greece,Moody's,2023-09-15,Ba1,11,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2023-09-15
Greece,Moody's,2024-09-13,Ba1,11,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2024-09-13
Greece,Moody's,2025-03-14,Baa3,10,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2025-03-14
Greece,S&P,1989-06-01,BBB,9,Stable,initial,theglobaleconomy.com (month-precision),1989-06-01
Greece,S&P,1990-03-01,BBB,9,Negative,outlook_change,theglobaleconomy.com (month-precision),1990-03-01
Greece,S&P,1990-07-01,BBB-,10,Stable,downgrade,theglobaleconomy.com (month-precision),1990-07-01
Greece,S&P,1993-01-01,BBB-,10,Positive,outlook_change,theglobaleconomy.com (month-precision),1993-01-01
Greece,S&P,1994-03-01,BBB-,10,Stable,outlook_change,theglobaleconomy.com (month-precision),1994-03-01
Greece,S&P,1997-03-01,BBB-,10,Positive,outlook_change,theglobaleconomy.com (month-precision),1997-03-01
Greece,S&P,1998-11-01,BBB,9,Positive,upgrade,theglobaleconomy.com (month-precision),1998-11-01
Greece,S&P,1999-11-01,A-,7,Positive,upgrade,theglobaleconomy.com (month-precision),1999-11-01
Greece,S&P,2001-03-01,A,6,Positive,upgrade,theglobaleconomy.com (month-precision),2001-03-01
Greece,S&P,2003-10-01,A+,5,Stable,upgrade,theglobaleconomy.com (month-precision),2003-10-01
Greece,S&P,2004-09-01,A+,5,Negative,outlook_change,theglobaleconomy.com (month-precision),2004-09-01
Greece,S&P,2004-11-01,A,6,Stable,downgrade,theglobaleconomy.com (month-precision),2004-11-01
Greece,S&P,2005-11-01,A,6,Stable,affirm,theglobaleconomy.com (month-precision),2005-11-01
Greece,S&P,2009-01-01,A,6,Negative watch,outlook_change,theglobaleconomy.com (month-precision),2009-01-01
Greece,S&P,2009-01-01,A-,7,Stable,downgrade,theglobaleconomy.com (month-precision),2009-01-01
Greece,S&P,2009-12-01,BBB+,8,Negative watch,downgrade,theglobaleconomy.com (month-precision),2009-12-01
Greece,S&P,2009-12-01,A-,7,Negative watch,upgrade,theglobaleconomy.com (month-precision),2009-12-01
Greece,S&P,2010-03-01,BBB+,8,Negative,downgrade,theglobaleconomy.com (month-precision),2010-03-01
Greece,S&P,2010-04-01,BB+,11,Negative,downgrade,theglobaleconomy.com (month-precision),2010-04-01
Greece,S&P,2010-12-01,BB+,11,Negative watch,outlook_change,theglobaleconomy.com (month-precision),2010-12-01
Greece,S&P,2011-03-01,BB-,13,Negative watch,downgrade,theglobaleconomy.com (month-precision),2011-03-01
Greece,S&P,2011-05-01,B,15,Negative watch,downgrade,theglobaleconomy.com (month-precision),2011-05-01
Greece,S&P,2011-06-01,CCC,18,Negative,downgrade,theglobaleconomy.com (month-precision),2011-06-01
Greece,S&P,2011-07-27,CC,20,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-07-27
Greece,S&P,2012-02-27,SD,22,,downgrade,countryeconomy.com (default designation; theglobaleconomy.com omits this event),2012-02-27
Greece,S&P,2012-05-02,CCC,18,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2012-05-02
Greece,S&P,2012-08-07,CCC,18,Negative,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2012-08-07
Greece,S&P,2012-12-05,SD,22,,downgrade,countryeconomy.com (default designation; theglobaleconomy.com omits this event),2012-12-05
Greece,S&P,2012-12-18,B-,16,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2012-12-18
Greece,S&P,2014-09-12,B,15,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2014-09-12
Greece,S&P,2015-01-01,B,15,Negative watch,outlook_change,theglobaleconomy.com (month-precision),2015-01-01
Greece,S&P,2015-02-06,B-,16,Negative watch,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-02-06
Greece,S&P,2015-04-15,CCC+,17,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-04-15
Greece,S&P,2015-06-10,CCC,18,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-06-10
Greece,S&P,2015-06-29,CCC-,19,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-06-29
Greece,S&P,2015-07-21,CCC+,17,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2015-07-21
Greece,S&P,2016-01-22,B-,16,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2016-01-22
Greece,S&P,2017-07-21,B-,16,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2017-07-21
Greece,S&P,2018-01-19,B,15,Positive,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-01-19
Greece,S&P,2018-06-25,B+,14,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-06-25
Greece,S&P,2018-07-20,B+,14,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-07-20
Greece,S&P,2019-10-25,BB-,13,Positive,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2019-10-25
Greece,S&P,2020-04-24,BB-,13,Stable,outlook_change,countryeconomy.com,2020-04-24
Greece,S&P,2021-04-23,BB,12,Positive,upgrade,"countryeconomy.com (conflict resolved: User cross-checked against the original screenshot; CE's BB/Positive confirmed correct, GE's BB-/Stable was wrong)",2021-04-23
Greece,S&P,2022-04-22,BB+,11,Stable,upgrade,countryeconomy.com,2022-04-22
Greece,S&P,2023-04-21,BB+,11,Positive,outlook_change,countryeconomy.com,2023-04-21
Greece,S&P,2023-10-20,BBB-,10,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2023-10-20
Greece,S&P,2024-04-19,BBB-,10,Positive,outlook_change,countryeconomy.com,2024-04-19
Greece,S&P,2025-04-18,BBB,9,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2025-04-18
Portugal,Fitch,1994-08-10,AA-,4,,initial,countryeconomy.com,1994-08-10
Portugal,Fitch,1995-10-26,AA-,4,,affirm,countryeconomy.com,1995-10-26
Portugal,Fitch,1998-06-04,AA,3,,upgrade,countryeconomy.com,1998-06-04
Portugal,Fitch,1998-07-14,AA,3,,affirm,countryeconomy.com,1998-07-14
Portugal,Fitch,2000-09-21,AA,3,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2000-09-21
Portugal,Fitch,2005-06-29,AA,3,Negative,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2005-06-29
Portugal,Fitch,2007-05-01,AA,3,Stable,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2007-05-01
Portugal,Fitch,2009-09-03,AA,3,Negative,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2009-09-03
Portugal,Fitch,2010-03-24,AA-,4,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-03-24
Portugal,Fitch,2010-12-23,A+,5,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-12-23
Portugal,Fitch,2011-03-24,A-,7,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-03-24
Portugal,Fitch,2011-04-01,BBB-,10,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-04-01
Portugal,Fitch,2011-10-07,BBB-,10,Negative,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-10-07
Portugal,Fitch,2011-11-24,BB+,11,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-11-24
