country,agency,downgrade_date,rating,single_sourced_ge_only,status,n_near_available,n_near_valid,n_baseline_available,n_baseline_valid,near_mean_risk_score,baseline_mean_risk_score,diff
Zambia,Fitch,2018-10-11,B-,False,ok,4.0,4.0,4.0,4.0,0.48618021542496925,0.5202062916816915,-0.03402607625672227
Zambia,Fitch,2019-06-27,CCC,False,ok,4.0,4.0,4.0,4.0,0.49719430126824216,0.49378092883457075,0.003413372433671402
Zambia,Fitch,2020-04-16,CC,False,ok,4.0,4.0,4.0,4.0,0.5212980041975496,0.49719430126824216,0.024103702929307413
Zambia,Fitch,2020-09-24,C,False,ok,4.0,4.0,4.0,4.0,0.5183526722664487,0.5113209994755488,0.00703167279089989
Zambia,Fitch,2020-11-18,RD,False,ok,4.0,4.0,4.0,4.0,0.5242095083551654,0.5212793752231929,0.0029301331319725454
Zambia,Fitch,2024-12-01,RD,False,ok,4.0,4.0,4.0,4.0,0.5279105770561117,0.49101724993522344,0.03689332712088822
Zambia,Moody's,2015-09-01,B2,True,ok,4.0,4.0,4.0,4.0,0.5715005258254788,0.5507993085114133,0.02070121731406549
Zambia,Moody's,2016-04-01,B3,True,ok,4.0,4.0,4.0,4.0,0.5615783256819851,0.5734986134647682,-0.01192028778278309
Zambia,Moody's,2018-07-01,Caa1,True,ok,4.0,4.0,4.0,4.0,0.4915371765854502,0.5352957777463896,-0.04375860116093938
Zambia,Moody's,2019-05-01,Caa2,True,ok,4.0,4.0,4.0,4.0,0.49719430126824216,0.49378092883457075,0.003413372433671402
Zambia,Moody's,2020-04-01,Ca-,True,ok,4.0,4.0,4.0,4.0,0.5212980041975496,0.49719430126824216,0.024103702929307413
Zambia,Moody's,2022-11-01,Ca,True,ok,4.0,4.0,4.0,4.0,0.5078260082490009,0.5391679351309129,-0.03134192688191195
Zambia,S&P,2015-07-01,B,False,ok,4.0,4.0,4.0,4.0,0.5715005258254788,0.5507993085114133,0.02070121731406549
Zambia,S&P,2018-08-24,B-,False,ok,4.0,4.0,4.0,4.0,0.4915371765854502,0.5352957777463896,-0.04375860116093938
Zambia,S&P,2019-08-23,CCC+,False,ok,4.0,4.0,4.0,4.0,0.5113209994755488,0.4915371765854502,0.019783822890098557
Zambia,S&P,2020-02-21,CCC,False,ok,4.0,4.0,4.0,4.0,0.5222049018957812,0.4933116342333486,0.028893267662432554
Zambia,S&P,2020-10-21,SD,False,ok,4.0,4.0,4.0,4.0,0.5242095083551654,0.5212793752231929,0.0029301331319725454
